"position.disgap","Type","TLCRate"
-195,"P85",0
-185,"P85",0
-175,"P85",0
-165,"P85",0
-155,"P85",0
-145,"P85",0
-135,"P85",0
-125,"P85",0
-115,"P85",0
-105,"P85",0
-95,"P85",0.125
-85,"P85",0.183333333333333
-75,"P85",0
-65,"P85",0
-55,"P85",0
-45,"P85",0.0694444444444444
-35,"P85",0.118421052631579
-25,"P85",0
-15,"P85",0
-5,"P85",0
5,"P85",0.208333333333333
15,"P85",1
25,"P85",1
35,"P85",0.349759615384615
45,"P85",0.125
55,"P85",0.442307692307692
65,"P85",0.107142857142857
75,"P85",0.25
85,"P85",0.357142857142857
95,"P85",0.3125
105,"P85",0.25
115,"P85",0.4375
125,"P85",1
135,"P85",0.232142857142857
145,"P85",0.25
155,"P85",0.160714285714286
165,"P85",0
175,"P85",0
185,"P85",0
195,"P85",0
-195,"Median",0
-185,"Median",0
-175,"Median",0
-165,"Median",0
-155,"Median",0
-145,"Median",0
-135,"Median",0
-125,"Median",0
-115,"Median",0
-105,"Median",0
-95,"Median",0
-85,"Median",0
-75,"Median",0
-65,"Median",0
-55,"Median",0
-45,"Median",0
-35,"Median",0
-25,"Median",0
-15,"Median",0
-5,"Median",0
5,"Median",0.0690476190476191
15,"Median",0.461538461538462
25,"Median",0.25
35,"Median",0
45,"Median",0
55,"Median",0
65,"Median",0
75,"Median",0
85,"Median",0
95,"Median",0
105,"Median",0
115,"Median",0
125,"Median",0
135,"Median",0
145,"Median",0
155,"Median",0
165,"Median",0
175,"Median",0
185,"Median",0
195,"Median",0
-195,"P25",0
-185,"P25",0
-175,"P25",0
-165,"P25",0
-155,"P25",0
-145,"P25",0
-135,"P25",0
-125,"P25",0
-115,"P25",0
-105,"P25",0
-95,"P25",0
-85,"P25",0
-75,"P25",0
-65,"P25",0
-55,"P25",0
-45,"P25",0
-35,"P25",0
-25,"P25",0
-15,"P25",0
-5,"P25",0
5,"P25",0.0635416666666667
15,"P25",0
25,"P25",0
35,"P25",0
45,"P25",0
55,"P25",0
65,"P25",0
75,"P25",0
85,"P25",0
95,"P25",0
105,"P25",0
115,"P25",0
125,"P25",0
135,"P25",0
145,"P25",0
155,"P25",0
165,"P25",0
175,"P25",0
185,"P25",0
195,"P25",0
